,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT,^DJI
2023-01-03,0.010314238826077515,0.01047212016695398,-0.007923564525679994,0.023246514611947156,0.04222324594795546,0.010381762611562095,0.03568779580700121,-0.00021026058427320304,-0.010632905747398835,0.03383161868867757,0.02527430672020059,0.004274734383724832,0.012091868595681676,-0.019878688768587338,0.00741802983403117,0.03554050287369148,0.010887383980333842,0.009325073605761514,-0.0004765499072135748,0.00022702731713319935,0.021882910040521564,0.008457828741377904,-0.04374313740397029,0.020715773067685905,0.004354198847564605,0.0005879070634235983,-0.02726367615063341,0.025170119884107223,0.025174574924770043,0.0011141065799671335,0.004025740692080726
2023-01-04,-0.010604644308710776,0.009342211132996603,-0.023725589118479662,-0.023930275382725408,0.006629375896493261,-0.004474700378495844,-0.02328256406686513,-0.01409033913964175,0.018008789777252954,-0.0006524178280161719,0.011083553462145845,-0.011331680363445451,-0.013323644534511847,-0.026518752694266845,-0.010448816970815566,-0.004335335334485824,-0.007383613266425115,-0.0002215420999548412,-0.01144309205246652,-0.008434489113353316,-0.017498940721321077,0.013918628419386847,-0.02963782646873736,-0.004867467221442268,-0.012415490905194448,0.0017092549750332697,-0.028820552828721313,-0.007055244180269704,0.013858418952308327,-0.0034084229811560673,-0.010210212184696088
2023-01-05,0.036794006919913524,0.03125232717188142,0.035611152390083056,0.025541416802184358,0.03907504898868375,0.035708440262016916,0.03058534854123174,0.030716616521109907,0.007532379709441095,0.021758099904912953,0.03987889738634154,0.012566853329769145,0.0065298286328829835,0.028366088311321702,0.01835423312570028,0.042452877430354974,0.008109572117807495,0.019135576355674866,0.01929267196297446,0.027883672639525958,0.030579044497530017,0.010559677272159673,0.011785271629421334,0.03241575840422728,0.023812877633399454,0.03369755005419561,8.162604152550657e-05,0.03145278990444034,0.011750682780393706,0.024499181638230505,0.02127329450421711
2023-01-06,0.004088876435498268,-0.018459273837557855,0.01486987397850048,0.0015314856059835957,-0.02079808767972413,-0.009001153792602135,0.046900706250781576,0.005380872549829885,-0.007816016309570184,0.009050232871393726,0.0047255535369357116,0.014134836987711452,0.0008817500885924812,0.0019022511251896024,-0.0010437670181544512,0.02018795567743359,-0.025908539433575295,-0.004132317914159689,-0.012460638202296703,-0.008238270763311073,0.0005524074833682668,-0.03883664828148248,0.009736513096591404,0.002569762141615417,-0.012214316891784982,-0.024500922045969098,0.00012242906888793037,0.0039034982599028822,-0.004020629189286251,-0.012467652576860777,-0.003358872753104869
2023-01-09,0.004456464653726178,0.013919656266154323,0.028731709234134817,0.010638336197733134,-0.009013783462595626,0.01577340132016003,0.0023112309496384764,0.004734455177181518,0.0049092504756422795,0.008336011422349188,0.021526808791191288,0.01235117491737081,0.00887337585132375,0.003180278743523113,0.008707897333282366,0.004435395563963329,-0.002391967421172758,0.008953927904491232,-0.007666457771129398,0.006211442724719962,0.010568616748967585,0.0038956132110345987,0.0076170931228392025,0.007929493854547554,-0.000986597721846727,0.011104171625662795,-0.008284685528758051,0.011390692476678677,0.014019908027611772,-0.0006208332629576985,0.005562834318394216
2023-01-10,0.02111224989984173,-0.0035415909494406206,0.058083825879343465,0.012631440649094827,0.006483121205973719,0.000878113127098068,-0.0172273182382382,0.008194955526869663,-0.004771616363756448,0.008057798149264883,0.01965647845063323,0.019923920878565538,0.026104728326004523,0.00454245214208826,0.0031767175845605067,0.013926600304623005,-0.0015984985779919914,0.007431492415524987,-0.001931613131904819,-0.0003719732674122289,0.00772660225792432,0.0023463465990261057,0.030238113867043337,0.01668783685091202,-0.008097738431998458,0.0021440147859694836,0.015226293287557535,0.004568300228233735,-0.018355145305052112,0.008767001532565377,0.007978558803928948
2023-01-11,-0.0005991700010795631,-0.0072917734313592275,0.0018929468094222024,0.006496980976237854,0.030236064903288673,0.01730945653416316,0.03243622952793701,-0.00426742259305668,0.010730581782918192,0.03612575138158869,0.016325130913004138,0.014980266938740439,0.002644526545539261,0.017334006682226955,0.0019964632680467,0.014740405836457526,-0.005032167902100593,-0.0010026196247729935,-0.012901085219431119,-0.00788650255066392,0.0017812276621600454,0.006302370677970126,0.011621504054005527,-0.00039087266262183284,-0.005641998195588971,0.00187873951887374,0.004600769637605584,0.006843697429553153,0.015298709498035912,-0.009032904846828393,0.0063861583143145495
2023-01-12,0.010119099715782065,0.0029898157858139207,0.029915043601747016,0.005422187891436225,-0.0008865361838048536,0.013290460773711654,-0.0006017528041966091,-0.0024488977994494565,0.0027106112631642976,-0.004107732343706538,0.0027340591598670194,0.010974774492314765,0.004062076059970776,0.0029168718390086834,0.002335948375496555,-0.005942561315664285,-0.0032758489307606053,0.025234777571977007,0.003594236753311275,0.008249179012857155,0.001237039204633028,0.004294511279023805,0.0030187496783060652,0.007506561714806903,0.007142357169147129,0.010052470290016213,-0.01230658168438925,-0.0025042313123383453,0.0011958223872343687,0.0033146334400400157,0.0032945518559446274
2023-01-13,0.008756235785396305,-0.0085010906401225,-0.02109661268732821,-0.01290456787851002,-0.012702569274173903,-0.008511940230303883,-0.006956003492513019,-0.016366600265812492,0.016501578352567048,0.005130740752091745,-0.021813182600768144,-0.06438503647639293,-0.011110773431738385,-0.02017447434864228,-0.00479805175324044,-0.016937976654060827,-0.006169596916927866,-0.015453594167287199,0.004069641380569644,0.01941303453107457,-0.022469398055824374,-0.016035622748406198,0.004681757257120278,-0.005510313260890576,-0.002916074978106531,-0.04599831494379647,-0.009171315254790646,-0.00026899149740944317,-0.024128112380380595,-0.006056912542512727,-0.011420641742360127
2023-01-17,-0.005369934267637544,-0.018669732263807526,-0.006142675153973931,-0.021658463755773627,-0.009460290267042204,-0.013423903256427283,-0.020340756553477668,-0.0245424112261714,-0.01806208379990437,-0.008707821418182382,-0.009756171603079067,-0.002372022297390197,-0.011723959535080208,-0.03769307638456609,-0.032922512065205356,-0.026689196562317052,-0.015084790252209102,-0.030042443403315078,-0.03031773152410644,-0.029440555140741398,-0.03041073766814184,-0.015029419211128214,-0.01888924373275469,-0.013344765218742838,-0.026788106501444253,-0.0074053362358112995,-0.01822378431705174,-0.01587442303971698,-0.021542125563315695,-0.024721297886303284,-0.018103073108280965
